"Sentiment,""SentimentText"""
"1,""' @crewislife  you want to start the morning later"""
"1,"" @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt"""
"1,"" @dandelionas is making fettucini and garlic bread!"""
"1,"" @danregal  tell @pfont i said Happy BDay!! """
"0,"" @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2"""
"0,""- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion"""
"0,"" @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though."""
"0,"" @Glamicole ..now who wud make this beautiful plc cry?"""
"0,"" @HaterMagazine: @damienrandle it is now the outer fat kid."""
"1,"" @hawaiibuzz: &quot"""
"1,"" @hidingesther @linininiooh are my future rooooooooomies! NYC holleR"""
"1,"" @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO"""
"1,"" @iamyas awesome"""
"1,"" @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn"""
"1,""- @jerrybattiste &quot"""
"1,""- @joaoqalves Think again   Talvez seja do ̻nfase na cifra. Mas aten̤̣o: &quot"""
"0,"" @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!"""
"0,""- @JuicyJones I know.. SOLD OUT though. """
"1,""- @kaitymarine - watch E3 @MCMudkips - Will do """
"1,""- @katherineholden Thanks K! Here's hoping! Pretty nervous though... """
"0,"" @katiedontcry should get on aim and talk to me. i miss her."""
"1,"" @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn"""
"0,"" @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp"""
"0,"" @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!"""
"0,"" @lolife4life where r u tonite im still awake!"""
"0,"" @lorinimus hates Bebot App"""
"1,"" @masareus&quot"""
"1,"" @MelodyChase"""
"1,"" @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC"""
"1,"" @michaelsarver so do you give him every inch of your love every night?"""
"1,"" @mimbles @WParenthetical"""
"1,""' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. """
"1,""- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge """
"0,"" @Oneshine What are u referring to?"""
"0,"" @plmusic22"""
"1,"" @RAPPUBLICIST HAPPY MOTHERS DAY!"""
"0,""                                     I miss her so much already..."""
"0,""               just practising.....how I feel       """
"0,""            Miss my love Jamie"""
"0,""          FUCK YOU!"""
"0,""        my head feels like a bowling ball"""
"0,""        my heart hurts badly..."""
"0,""       FS keeps crashing when I try to load Bungie plane."""
"0,""      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    """
"0,""     ....    My mood is currently BLAH . Sitting in a parking lot"""
"1,""     I am happy     """
"0,""    ...that is all."""
"0,""    everyone went home. and not everyone was even here! ~CMF &lt"""
"0,""    fed up...."""
"0,""   @Beansummer"""
