"Sentiment,""SentimentText"""
"0,""                     is so sad for my APL friend............."""
"0,""                   I missed the New Moon trailer..."""
"1,""              omg its already 7:30 :O"""
"0,""          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)..."""
"0,""         i think mi bf is cheating on me!!!       T_T"""
"0,""         or i just worry too much?        """
"1,""       Juuuuuuuuuuuuuuuuussssst Chillin!!"""
"0,""       Sunny Again        Work Tomorrow  :-|       TV Tonight"""
"1,""      handed in my uniform today . i miss you already"""
"1,""      hmmmm.... i wonder how she my number @-)"""
"0,""      I must think about positive.."""
"1,""      thanks to all the haters up in my face all day! 112-102"""
"0,""      this weekend has sucked so far"""
"0,""     jb isnt showing in australia any more!"""
"0,""     ok thats it you win."""
"0,""    &lt"""
"1,""    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate"""
"0,""    HUGE roll of thunder just now...SO scary!!!!"""
"0,""    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime."""
"0,""    Very sad about Iran."""
"0,""    wompppp wompp"""
"1,""    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome"""
"0,""   &lt"""
"0,""   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!"""
"0,""   BoRinG   ): whats wrong with him??     Please tell me........   :-/"""
"0,""   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously."""
"0,""   I didn't realize it was THAT deep. Geez give a girl a warning atleast!"""
"0,""   I hate it when any athlete appears to tear an ACL on live television."""
"0,""   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today"""
"0,""  -- Meet your Meat http://bit.ly/15SSCI"""
"0,""   My horsie is moving on Saturday morning."""
"0,""   No Sat off...Need to work 6 days a week """
"0,""   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay"""
"0,""   times by like a million"""
"1,""   uploading pictures on friendster """
"0,""   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'("""
"0,""  &amp"""
"1,""  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7"""
"0,""  *enough said*"""
"1,""  ... health class (what a joke!)"""
"1,""  @ginaaa &lt"""
"0,""  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now"""
"0,"" - All Time Low shall be my motivation for the rest of the week."""
"0,""  another year of Lakers .. That's neither magic nor fun ..."""
"0,""  baddest day eveer. """
"1,""  bathroom is clean..... now on to more enjoyable tasks......"""
"1,""  boom boom pow"""
"0,""  but i'm proud."""
"0,""  congrats to helio though"""
"0,""  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. """
"0,""  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC"""
"1,""  go give ur mom a hug right now. http://bit.ly/azFwv"""
"1,""  Going To See Harry Sunday Happiness """
"0,""  Hand quilting it is then..."""
"0,""  hate u ...  leysh t9ar5 ... =((((((( .."""
"#NAME?,"""""
"1,""  I bend backwards  """
"1,""  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!"""
"1,""  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll..."""
"0,"" - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us"""
"0,""  I miss Earl"""
"0,""  I miss New Jersey"""
"0,""  I need a U2 fix NOW!"""
"0,""  I never thought I'd become second choice..."""
"0,""  I think I may be too friendly...lol... o well..."""
"0,""  I think Manuel (my Basil plant) only has days to live   """
"0,""  I wanna be at home @ church...I wonder wht they are doing?"""
"0,""  i wanna make my own pizza"""
"0,""  i want a hug"""
"0,""  I want Miley to tour Australia"""
"0,""  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels"""
"0,""  i was too slow to get $1 Up tix"""
"0,""  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp"""
"0,""  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall"""
"0,""  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me"""
"1,""  I'm really going to bed now..."""
"0,""  im sick  'cough cough'"""
"0,""  in cab headed to the airport!  going home.... &lt"""
"0,""  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work"""
"1,""  Jin has a twitter."""
"0,""  jonas day is almost over... """
"0,""  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt"""
"1,""  just gonna smile...cuz it is what it is..and im not sure what more they could want.."""
"0,"" - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6"""
"0,""  mi momacita won't let me go to my bf's bball game!!! grrr!!!"""
"0,""  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying...."""
"0,""  My new car was stolen....by my mother who wanted to go pose at church."""
"0,""  no pavel tonight &lt"""
"0,""  not a cool night."""
"1,""  oh thank you!"""
"1,""  pleased"""
"0,""  probably guna get off soon since no one is talkin no more"""
"0,""  really wanted Safina to pull out a win &amp"""
"1,""  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away."""
"0,"" - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8"""
"0,""  so whats the status on next weekend"""
"0,""  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade"""
"0,""  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it."""
"1,"" - that explains alot."""
"1,""  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up."""
"0,""  told not to drink w/my Rx so just gave all the b.b. porter &amp"""
"1,""  trae is so sweet! He just bought me a new baithing suit!! Wove him """
"0,""  u guys knw whyy"""
"0,""  very much so """
"0,""--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --"""
"0,""  where is my picture i feel naked """
"0,""  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert."""
